tax	BUD-56-MGE-S98	CHA-50-MGE-S110	CM-NTC-006	FRA-48-MGE-S114	FRA-56-MGE-S111	GIN-55-DRS-S96	GIN-55-MGE-S97	GOO-37-MGE-S112	GOO-58-MGE-S99	GRO-37-MGE-S94	HEN-9-DRS-S104	HEN-9-MGE-S105	HER-14-MGE-S106	IRI-60-MGE-S101	IVY-9-MGE-S103	JAR-50-MGE-S109	KUB-37-MGE-S108	MAR-60-MGE-S102	OPH-37-MGE-S93	OPH-48-MGE-S113	OPH-55-MGE-S95	OPH-59-MGE-S100	WOL-14-MGE-S107	WOL-49-MGE-S115	total
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	9	25	0	31	37	26	9	21	20	3	16	15	10	22	21	21	5	1	5	15	8	12	3	27	362
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium fessum	4	9	0	9	97	5	0	4	0	2	0	0	17	33	15	0	19	1	9	16	20	8	72	11	351
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	233	9	101	0	0	349
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter chengduensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	26	1	297	0	0	326
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae	1	0	0	0	1	0	0	0	0	0	0	0	13	1	0	0	11	0	40	150	54	46	0	1	318
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera micronuciformis	6	16	0	47	21	25	24	12	6	1	1	1	1	27	16	18	4	12	1	3	2	3	10	9	266
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Butyricicoccaceae;Butyricicoccus;Butyricicoccus pullicaecorum	0	53	0	3	37	0	0	0	1	3	0	0	25	32	25	0	30	3	0	0	0	0	48	0	260
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella oris	7	1	0	29	0	0	0	18	6	0	0	0	2	132	0	0	0	0	0	1	1	2	11	31	241
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	2	6	0	8	60	2	1	4	1	1	0	0	19	18	6	1	8	3	6	20	12	5	45	8	236
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	6	6	0	12	20	25	9	27	5	3	0	0	7	14	17	19	4	17	2	4	5	7	5	21	235
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	58	1	10	69	79	0	0	225
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	7	39	0	0	0	0	0	14	3	2	0	0	11	0	0	11	0	6	9	31	13	75	0	0	221
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	0	185	0	0	221
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena absiana	6	0	0	12	14	1	0	5	0	0	0	0	6	18	13	3	0	4	9	14	21	1	91	2	220
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	6	2	0	15	0	0	0	8	5	0	0	0	0	131	0	0	0	0	0	0	1	2	18	23	211
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	5	0	0	12	0	0	0	0	1	28	10	5	23	51	0	5	3	6	23	15	8	10	0	205
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	2	4	0	13	0	27	1	9	7	2	48	0	9	9	11	1	3	2	0	8	12	5	21	5	199
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;Paraprevotella clara	0	65	0	0	48	0	2	0	0	1	2	2	2	9	4	0	1	0	8	35	3	5	0	4	191
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter hormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	181	5	0	0	187
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	2	0	0	6	21	0	0	2	0	1	0	0	4	10	13	0	1	2	11	3	31	5	75	0	187
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	2	2	0	4	29	4	0	2	0	0	0	0	11	42	1	5	3	1	2	17	13	7	29	11	185
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	3	4	0	15	34	16	4	5	3	0	0	0	1	21	1	0	1	4	4	8	12	3	25	11	175
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	6	0	8	0	0	0	0	0	0	0	0	0	122	0	0	9	0	0	1	0	1	22	1	170
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	1	0	11	20	2	0	13	3	4	0	1	2	25	4	5	6	8	3	16	12	11	17	3	168
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii	0	6	0	0	10	0	0	0	1	0	0	0	0	99	0	0	0	0	1	3	0	0	31	2	153
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	2	2	0	2	43	3	1	6	1	0	0	0	7	22	9	1	7	0	3	7	9	4	22	1	152
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	3	2	1	0	5	1	0	0	0	1	40	0	6	0	0	11	42	15	21	2	0	150
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	5	4	0	9	2	10	12	6	13	0	0	1	1	37	7	9	1	6	0	2	1	0	19	4	149
