tax	BUD-46-MGE-S81	CM-NTC-005	FRA-9-MGE-S71	GIN-14-MGE-S75	GIN-7-DRS-S87	GIN-7-MGE-S88	GOO-42-MGE-S76	HER-11-MGE-S72	IRI-46-MGE-S80	IRI-7-DRS-S85	IRI-7-MGE-S86	IVY-24-DRS-S92	IVY-24-MGE-S90	JAR-49-DRS-S70	JOA-21-MGE-S89	KOR-6-DRS-S83	KOR-6-MGE-S84	KUB-14-MGE-S74	LAM-44-DRS-S77	MAR-24-DRS-S91	MAR-44-MGE-S78	OPH-45-MGE-S79	PAD-11-MGE-S73	PAD-5-MGE-S82	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	12	0	1	18	0	0	5	26	7	17	4	83	32	18	1	96	33	6	0	16	0	11	17	1	404
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	116	0	0	9	2	2	0	25	7	2	3	10	107	5	2	18	12	6	7	6	5	25	16	2	387
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	10	0	6	9	9	15	24	1	49	67	110	15	10	16	0	9	4	0	9	0	13	5	0	4	385
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	9	0	4	3	0	1	16	26	13	30	15	43	14	39	5	61	24	6	1	15	4	31	7	3	370
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	99	0	2	10	6	6	7	38	7	1	0	41	35	22	4	5	3	1	30	6	12	9	6	1	351
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	12	0	1	7	1	2	6	24	12	16	16	55	25	20	1	59	24	3	0	8	3	26	4	1	326
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;Anaerobiospirillum succiniciproducens	74	0	0	0	1	0	24	0	0	0	0	0	0	3	24	44	22	2	10	76	43	0	0	0	323
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	6	0	2	5	1	0	9	4	3	6	4	47	26	46	5	52	30	31	1	9	6	19	6	4	322
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	64	0	1	0	0	0	19	0	57	25	25	0	0	7	17	25	6	6	0	0	6	2	0	20	280
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	11	0	6	4	2	1	7	4	9	13	7	62	9	25	3	54	18	1	3	7	1	6	5	1	259
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	58	0	6	1	11	2	5	2	4	0	1	3	5	51	0	54	20	8	0	0	5	17	0	0	253
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter fastidiosus	0	0	0	0	0	0	0	6	28	11	8	7	6	0	0	51	12	3	0	42	2	12	9	43	240
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	9	0	2	7	4	1	6	7	6	18	12	36	14	21	4	44	8	1	2	12	2	10	6	1	233
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	0	0	0	0	0	0	0	73	8	11	1	8	0	0	0	0	0	0	0	0	0	70	62	233
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	12	0	1	19	1	0	10	6	6	15	18	26	11	17	12	25	18	10	0	1	3	15	3	3	232
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	46	0	1	4	6	3	6	16	2	2	0	31	46	4	0	6	0	0	30	3	4	6	2	1	219
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	4	0	2	6	1	1	5	19	3	9	3	48	13	8	2	40	20	5	0	7	1	2	16	0	215
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	12	0	8	7	1	4	8	5	12	21	8	13	8	29	0	36	8	1	4	7	7	10	0	2	211
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	6	0	3	1	6	3	5	6	9	12	8	26	5	34	1	27	16	1	11	5	3	11	4	3	206
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	10	0	0	0	1	1	0	0	6	1	0	1	0	6	0	81	41	8	0	1	1	5	27	5	195
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter wuhouensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	177	3	0	183
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	3	0	0	0	0	1	6	17	10	16	10	8	4	14	1	50	16	0	0	0	2	16	1	2	177
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella marseillensis	26	0	0	0	0	0	6	0	46	36	49	0	0	0	13	0	0	0	0	0	0	0	0	0	176
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;Hoylesella loescheii	22	0	0	0	0	0	9	0	46	38	41	0	0	0	13	0	0	0	0	0	0	0	0	0	169
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	8	0	1	0	0	0	1	12	0	1	0	14	21	6	0	54	11	26	0	0	1	9	0	2	167
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	124	20	15	0	0	0	0	0	0	165
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	157	2	0	162
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	10	7	0	0	0	44	0	0	157
