tax	GOO-4-DRS-S20	GOO-4-MGE-S21	GRO-36-MGE-S13	GRO-41-MGE-S7	HAM-17-MGE-S5	IRI-16-MGE-S1	JAR-2-MGE-S4	JAR-3-MGE-S19	KOR-58-MGE-S14	KUB-58-MGE-S11	LAM-2-DRS-S16	LAM-2-MGE-S17	MAR-37-MGE-S22	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurellaceae_Incertae_sedis;[Pasteurella] aerogenes	0	19	0	0	0	0	0	0	0	0	0	0	0	19
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	0	0	1	3	0	0	0	13	0	0	0	0	0	17
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus mitis	0	15	0	0	0	0	0	0	0	0	0	0	0	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	0	0	0	0	0	0	0	15	0	0	0	0	0	15
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Catenibacillus;Catenibacillus scindens	0	0	0	0	0	0	0	14	0	0	0	0	0	14
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena orotica	0	0	2	1	0	0	0	10	0	0	0	0	0	13
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	0	0	4	2	0	1	0	6	0	0	0	0	0	13
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii	0	10	0	0	0	0	0	2	0	0	0	0	0	12
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	0	0	2	1	0	0	0	9	0	0	0	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	0	0	0	0	0	0	0	12	0	0	0	0	0	12
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Oscillospiraceae_Incertae_sedis;[Clostridium] leptum	0	0	3	8	0	0	0	0	0	0	0	0	0	11
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia glucosida	0	10	0	0	0	0	0	0	0	0	0	0	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Faecalicatena;Faecalicatena faecalis	0	0	0	0	0	0	0	10	0	0	0	0	0	10
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Gluceribacter;Gluceribacter canis	0	0	0	3	0	0	0	7	0	0	0	0	0	10
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	0	0	1	1	0	0	0	8	0	0	0	0	0	10
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Glaesserella;Glaesserella australis	0	9	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium	0	9	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter actinomycetemcomitans	0	9	0	0	0	0	0	0	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens	0	0	0	2	0	0	0	7	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia hominis	0	0	0	3	0	0	0	6	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella tannerae	0	0	2	4	0	0	0	3	0	0	0	0	0	9
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii	0	0	4	3	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	1	2	0	0	0	4	0	0	0	0	0	7
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus pittmaniae	0	7	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;Granulicatella adiacens	0	7	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora xylanisolvens	0	0	0	7	0	0	0	0	0	0	0	0	0	7
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	5	0	0	0	0	0	1	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia coccoides	0	0	0	0	0	0	0	6	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus	0	0	0	1	0	0	0	5	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	0	0	0	0	0	0	0	6	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus downii	0	6	0	0	0	0	0	0	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium edouardi	0	0	3	1	0	0	0	2	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus	0	0	0	2	0	0	0	4	0	0	0	0	0	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster hominis (ex Hitch et al. 2024)	0	0	0	3	0	0	0	2	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;Veillonella rogosae	0	5	0	0	0	0	0	0	0	0	0	0	0	5
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus himalayensis	0	5	0	0	0	0	0	0	0	0	0	0	0	5
