tax	BUD-17-MGE-S232	BUD-18-MGE-S250	CM-NTC-012	GIN-24-MGE-S240	GIN-42-MGE-S241	HAM-20-MGE-S235	HAM-46-MGE-S243	HEN-22-MGE-S238	IRI-18-MGE-S233	IRI-20-MGE-S253	IRI-55-MGE-S247	IVY-18-MGE-S234	IVY-19-MGE-S252	IVY-55-MGE-S248	JAR-18-MGE-S249	JAR-52-MGE-S246	JOA-11-MGE-S231	KUB-22-MGE-S237	KUB-45-MGE-S242	KUB-49-MGE-S245	OPH-20-MGE-S236	WOL-19-MGE-S251	WOL-24-MGE-S239	WOL-48-MGE-S244	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora indolis	0	0	0	1	2	3	2	1	7	4	8	13	17	12	2	1	1	2	0	10	1	9	0	3	99
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella maculosa	0	0	0	0	3	0	5	1	19	17	14	0	0	0	0	0	4	0	0	0	1	24	0	11	99
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter;Xylanibacter oryzae	0	0	0	0	0	0	0	0	12	12	17	0	0	0	0	0	3	0	0	0	0	34	3	10	91
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	0	0	0	7	14	1	4	5	1	0	0	2	1	3	3	4	1	15	0	13	9	2	0	0	85
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;Segatella buccae	0	0	0	0	18	2	20	9	0	0	0	0	0	0	6	3	13	8	0	0	4	0	0	0	83
Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;Colibacter massiliensis	0	0	0	0	0	0	0	0	8	14	33	0	0	0	1	3	2	0	0	0	0	14	2	2	79
Bacteria;Bacteria_none;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella stercoris	0	0	0	0	2	0	0	1	43	0	0	2	0	1	0	0	0	1	0	3	0	8	4	14	79
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens	3	0	0	0	4	4	1	2	5	12	2	6	1	1	2	1	0	2	0	3	7	21	0	1	78
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens	0	0	0	2	3	3	2	0	4	7	4	5	8	9	5	4	3	2	0	2	2	6	1	1	73
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	0	0	0	0	0	4	7	0	6	5	20	1	0	1	5	5	0	0	0	0	4	14	0	0	72
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora sphenoides	2	0	0	0	1	4	4	0	3	2	5	8	12	4	1	2	4	3	0	11	0	4	1	1	72
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	1	0	0	0	0	2	4	0	7	0	4	2	7	5	3	4	4	3	0	18	3	3	0	1	71
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	3	1	0	0	0	0	0	0	0	0	0	42	21	0	0	0	0	0	0	0	0	0	0	0	67
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis	0	0	0	0	1	2	7	1	3	6	6	0	2	0	2	4	1	4	0	8	0	5	4	2	58
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella freteri	0	0	0	1	8	0	0	2	8	3	3	3	2	0	1	0	1	5	0	6	7	4	0	1	55
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	1	2	0	0	1	0	0	2	2	4	3	7	16	1	2	2	1	1	0	2	2	0	1	4	54
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei	3	0	0	0	0	6	0	0	2	2	5	0	0	4	0	3	0	5	0	2	0	6	8	7	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	0	0	0	0	1	1	0	1	0	7	4	2	6	3	1	2	4	0	9	5	2	1	3	53
Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Porcincola;Porcincola intestinalis	2	0	0	3	7	1	2	2	1	0	3	0	1	3	2	8	2	3	0	2	2	3	0	2	49
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	7	0	0	0	0	0	0	0	0	0	29	7	3	0	0	0	1	0	1	0	1	0	0	49
