"ID"	"ivy_17"	"korra_20"	"ophelia_20"	"kubo_21"	"franc_22"	"grogu_22"	"hamlet_23"	"franc_24"	"hera_24"	"ivy_24"	"kubo_24"	"ophelia_24"	"henry_25"	"kubo_25"	"ginger_44"	"iris_44"	"henry_45"	"korra_45"	"hamlet_46"	"joans_46"	"ginger_47"	"marshmallow_47"	"charles_48"	"grogu_48"	"hera_48"	"kubo_48"	"kubo_49"	"franc_50"	"kubo_52"	"kubo_53"	"marshmallow_53"	"ginger_55"	"ophelia_55"	"buddy_56"
"njc15"	0.02	0.11	0.02	0	0.07	0	0	0.02	0	0.07	0.02	0.02	0	0	0	0.09	0.02	0.02	0	0.02	0.02	0	0	0	0	0.04	0.02	0.04	0.02	0.07	0	0.18	0.02	0.02
"njc16"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc17"	0.22	1	2.62	1.29	0.2	0.04	0.56	1	0.71	1.42	0.96	3.96	1.96	1.33	1.91	4.74	1.29	3.09	0.89	0.42	0.71	0.85	1.63	0.22	1.51	1.31	1.11	0.38	1.58	0.78	0.11	1.33	1.74	0.16
"njc18"	0.02	0.04	0	0.04	0.07	0	0	0	0	0.04	0.02	0.02	0	0	0.02	0.02	0	0.02	0	0	0.02	0	0.24	0	0	0.07	0	0	0.02	0.02	0	0.04	0.02	0.02
"njc19"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0.02	0
"njc20"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc21"	0.04	0.02	0	0	0.04	0	0	0.49	0	0.13	0	0	0	0	0	0.87	0	0	0	0.02	0	0	0.76	0	0.07	0.29	0.07	0	0.09	0.09	0	0	0.02	0
"njc22"	0.22	0.42	0.16	0.56	0.76	0.09	4.34	0.93	0.2	10.7	0.36	0.29	0.84	0.24	0.53	3.34	0.38	0.27	0.22	0.16	0.6	0.13	2.14	0.02	0.24	3.04	0.8	0.24	0.24	1.85	0	0.6	0.71	0.4
"njc23"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	1.09	0.02
"njc24"	13.99	14.62	18.45	26.46	20.09	1.73	21.58	21.36	18.53	24.82	29.02	33.21	23.4	13.11	38.13	37.18	33.24	18.75	18.25	18.61	41.33	9.27	27.99	1.58	14.89	21.78	24.09	34.2	13.16	19.43	2	39.55	21.56	15.38
"njc25"	0.02	0.22	0.09	0.04	0.11	0	0	0.07	0.04	0.13	0.07	0.07	0.07	0	0	0.13	0.02	0.16	0.02	0.09	0.02	0.09	0.04	0.02	0.11	0.09	0.04	0.13	0.07	0.18	0	0.22	0.04	0.07
"njc26"	0.09	0.07	0.09	0.38	0.07	0.02	0.04	0.56	0	0.18	0.02	0.2	0.2	0.11	0	0.69	0	0	0	0	0.02	0.02	0.85	0	0.02	0.38	0.33	0	0.09	0.31	0	0	0.04	0.04
"njc27"	0.09	0.07	0.09	0.38	0.07	0.02	0.04	0.56	0	0.18	0.02	0.2	0.2	0.11	0	0.69	0	0	0	0	0.02	0.02	0.85	0	0.02	0.38	0.33	0	0.09	0.31	0	0	0.04	0.04
"njc28"	0.02	0.04	0	0.04	0.07	0	0	0	0	0.04	0.02	0.02	0	0	0.02	0.02	0	0.02	0	0	0.02	0	0.24	0	0	0.07	0	0	0.02	0.02	0	0.04	0.02	0.02
"njc29"	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0
"njc30"	0.04	0.02	0	0	0.04	0	0	0.49	0	0.13	0	0	0	0	0	0.87	0	0	0	0.02	0	0	0.76	0	0.07	0.29	0.07	0	0.09	0.09	0	0	0.02	0
"njc31"	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
"njc32"	0.07	0.16	1.29	0.13	0.09	0.09	1.13	0.78	0.6	3.25	0.04	2.18	0.16	0.58	0	3.05	0.02	0.13	0.64	0.09	0	0.16	4.32	0.11	2.62	1.98	0.76	0.11	0.49	0.96	0.09	0.07	1.62	0.13
"njc33"	7.43	7.9	2	2	1	0.18	1.74	3.71	0.62	3.67	4.6	2.47	11.27	0.73	0	3.19	0.07	3.36	0.96	0.13	3.18	6.74	5.14	0.11	4.25	2.24	1.09	0.13	9.96	1.29	0.09	0.38	5.18	2.52
"njc34"	13.92	14.51	18.39	26	19.98	1.73	21.58	21.34	18.2	24.02	28.89	32.46	24.02	13.11	37.62	37.38	33.19	19.41	17.65	18.59	41.87	11.1	27.99	1.53	14.8	21.87	23.87	34.16	15.73	18.14	1.96	39.06	21.36	15.33
"njc35"	13.75	13.57	16.94	24.95	19.89	1.78	22.1	21.03	18.27	26.44	28.11	31.17	21.33	12.31	36.04	35.71	31.93	15.61	17.9	18.21	40.6	8.5	29.86	1.4	15.69	22.36	23.63	33.8	11.8	19.07	1.93	38.11	21.25	15.25
"njc36"	0.04	0.04	0	0	0	0	0	0	0	0	0.02	0	0.09	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0.04	0	0	0	0	0.02
"njc37"	1.05	2.14	0.89	2.31	1.22	0.18	0.6	2.51	1.4	2.89	1.24	2.51	2.51	1.22	2.22	6.17	0.91	3.25	1.22	0.47	1.13	1.11	4.01	0.44	1.58	2.07	1.6	2.73	2.49	2.36	0.27	3.2	1.67	0.71
"njc38"	0.09	0.2	0.04	0	0.09	0	0.02	0.49	0.04	0.67	0.04	0.02	0.09	0	0	0.91	0	0	0.02	0.02	0.02	0.02	1.56	0	0.16	0.33	0.07	0	0.13	0.09	0	0.07	0.04	0.02
"njc39"	0.04	0.04	0	0	0	0	0	0	0	0	0.04	0.02	0.09	0	0	0	0	0	0	0	0.02	0.04	0	0	0	0	0	0	0.04	0	0	0	0	0.04
"njc40"	0.04	0.02	0.02	0	0.04	0	0.02	0.49	0.04	0.64	0	0.02	0	0	0	0.89	0	0	0.02	0.02	0	0	1.56	0	0.13	0.31	0.07	0	0.09	0.09	0	0	0.02	0
"njc41"	14.15	14.71	18.5	26.51	20.29	1.76	21.58	21.6	18.58	25.04	29.29	33.26	25.09	13.14	38.62	37.98	33.61	19.88	18.34	18.72	42.45	11.32	28.12	1.6	14.94	22	24.18	34.4	15.91	19.58	2	39.84	22.36	15.56
"njc42"	0.09	0.2	0.04	0	0.13	0	0.02	0.49	0.04	0.67	0.07	0.02	0.09	0	0	0.91	0	0	0.02	0.02	0.02	0.02	1.56	0	0.16	0.33	0.07	0	0.13	0.11	0	0.09	0.04	0.04
"njc43"	0.04	0.02	0	0	0.04	0	0	0.4	0	0.07	0	0	0	0	0	0.69	0	0	0	0	0	0	0.4	0	0	0.27	0.04	0	0.04	0.09	0	0	0	0
"njc44"	11.41	8.63	15.07	20.19	12.96	1.31	17.78	16.54	15.18	17.88	17.78	25.72	19.56	9.4	27.67	30.3	25.77	15.45	13.78	14.1	25.01	8.76	26.48	1.22	10.62	15.87	19.45	25.16	12.76	13.11	1.67	24.3	15.6	9.35
