"ID"	"hera_1"	"wolverine_1"	"buddy_11"	"hamlet_11"	"hera_11"	"jarjarbinks_11"	"joans_11"	"padme_11"	"ginger_14"	"hera_14"	"iris_14"	"jarjarbinks_14"	"kubo_14"	"wolverine_14"	"ginger_2"	"hera_2"	"jarjarbinks_2"	"lambchop_2"	"jarjarbinks_3"	"goose_4"	"padme_5"	"korra_6"	"padme_6"	"ginger_7"	"hera_7"	"iris_7"	"padme_7"	"charles_9"	"franc_9"	"grogu_9"	"henry_9"	"ivy_9"	"korra_9"	"ophelia_9"
"njc47"	33.02	39.33	22.66	24.13	38.35	14.21	22.52	39.28	34.65	39.79	23.18	14.93	7.05	29.22	9.78	2.5	15.42	1.2	16.4	7.19	8.72	9.54	9.48	13.74	30.21	15.08	10.33	30.81	13.25	11.03	18.73	10.6	18.02	26.94
"njc48"	37.27	42.58	24.41	26.58	45.01	19.63	28.33	39.5	59.65	46.17	33.06	20.84	11.8	38.53	10.61	3.38	28.95	1.48	24.1	6.24	9.93	16.87	11.61	18.51	34.88	18.97	13.61	31.38	17.03	14.62	19.79	15.47	23.02	32.17
"njc49"	0	0.05	0.05	0	0	0	0	0.38	0	0	0.98	0	0	0.3	0	0	0.4	0	0	5.2	0.45	0	0.6	0	0	0.09	1	0.25	0	0.07	0	0	0.03	0
"njc50"	0.12	1.55	0.15	0.1	0.23	0.18	0.05	1.25	0.07	0.08	3.7	0.75	0.12	1.93	0.03	0.15	8.05	0.05	0.05	1.52	0.65	0.2	0.85	0.04	0.08	0.29	1.9	0.38	0	0.28	0.34	0.58	0.68	0.2
"njc51"	33.08	39.33	33.34	24.28	42.33	20.91	26.83	44.03	34.7	43.4	23.18	16.23	41.5	29.35	40.9	2.58	15.47	1.35	16.7	43.91	35.65	9.73	34.41	46.64	30.16	15.15	38.67	52.88	53.61	12.07	36.83	20.05	18.88	26.94
"njc52"	0	0	0.03	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0	1.4	0.05	0	0.03	0	0	0	0.2	0.08	0	0	0	0	0	0
"njc53"	0	0	0	0	0.03	0	0	0	0	0	0	0	0.07	0	0.05	0	0	0	0	0.04	0.07	0	0.1	0.13	0	0	0.05	0.03	0.15	0	0.1	0.03	0	0
"njc54"	37.17	41.52	24.34	26.51	44.81	19.53	28.28	39.38	59.58	46.1	32.98	20.14	11.72	38.28	10.58	3.33	23.09	1.45	24.08	4	9.85	16.71	11.44	18.47	34.78	18.9	13.28	31.31	17.03	14.4	19.49	15.43	22.3	32.02
"njc55"	0	0.32	0.1	0.03	0	0.25	0	0.58	0.05	0.03	1	0.1	0.1	0.45	0	0	0.18	0	0	5.35	0.58	0.13	1.2	0	0	0.09	1.1	1.38	0	0.3	0.08	0.05	0	0.28
"njc56"	0.12	1.43	0.33	0.58	0.4	1.95	0.18	1.55	0.95	0.58	23.18	1.93	0.78	7.83	0.28	0.6	10.53	0.83	0.17	0.15	1.48	2.01	3.2	0.86	0.25	1.56	3.25	2.03	0.2	0.78	0.21	3.55	3.95	0.75
